Grupo,Cotas
003310,"1539, 499, 1045, 1593, 269, 1595, 1000, 132, 906, 665, 278, 820, 797, 1466, 1136"
003314,"231, 776, 1475, 685, 1079, 090, 273, 1520, 224, 763, 006, 944, 374, 1360, 1189"
003306,"1545, 793, 942, 936, 1285, 248, 1139, 1501, 686, 441, 933, 696, 396, 751, 322"
003304,"443, 202, 1246, 113, 383, 1044, 634, 199, 732, 1067, 1248, 1097, 774, 772, 1560"
003317,"1314, 506, 1106, 775, 796, 373, 207, 320, 1378, 083, 497, 477, 120, 1090, 737"
003303,"350, 353, 786, 831, 1572, 1241, 1340, 1150, 875, 1093, 008, 1260, 1269, 1156, 064"
003308,"323, 1311, 1326, 825, 936, 123, 1230, 1303, 1161, 956, 474, 555, 1512, 697, 1259"
003315,"478, 1173, 1496, 088, 512, 201, 1425, 1599, 1198, 1403, 244, 674, 1084, 151, 1207"
003301,"758, 459, 975, 905, 221, 557, 554, 662, 354, 332, 759, 574, 647, 607, 687"
003309,"894, 401, 223, 314, 721, 525, 1598, 1325, 1235, 1140, 846, 1202, 140, 535, 1385"
003312,"278, 120, 222, 259, 898, 578, 965, 013, 457, 526, 142, 1475, 1429, 1045, 576"
