Grupo,Cotas
003304,"1563, 1236, 004, 1369, 505, 1529, 154, 416, 1106, 1555, 1511, 1465, 866, 1552, 968"
003306,"039, 1475, 441, 360, 1485, 1013, 942, 1014, 1576, 1107, 743, 970, 1596, 1310, 1057"
003315,"042, 1567, 727, 1508, 475, 609, 1189, 264, 541, 907, 586, 539, 343, 738, 613"
003301,"851, 888, 178, 737, 247, 628, 168, 815, 398, 081, 397, 625, 734, 566, 758"
003314,"338, 994, 950, 262, 181, 1515, 589, 443, 1349, 603, 1457, 1581, 394, 1323, 902"
003308,"1182, 540, 979, 456, 705, 1489, 664, 1389, 087, 654, 1104, 828, 1567, 1375, 1385"
003317,"329, 727, 284, 879, 1546, 977, 282, 1471, 493, 648, 1004, 990, 336, 1106, 774"
003303,"586, 1430, 467, 180, 392, 657, 704, 1446, 033, 1369, 648, 480, 1528, 472, 1018"
003309,"226, 1073, 1245, 1335, 149, 695, 820, 1359, 1008, 121, 1184, 1297, 159, 178, 670"
003310,"632, 1553, 022, 1188, 1146, 1173, 340, 219, 1005, 477, 771, 1150, 1051, 1307, 844"
003312,"1181, 583, 1338, 1583, 1160, 644, 206, 575, 472, 1171, 672, 300, 348, 1094, 1102"
