Grupo,Cotas
003315,"1534, 003, 424, 1554, 107, 1031, 081, 501, 1242, 997, 370, 889, 1524, 697, 380"
003310,"309, 1512, 696, 833, 801, 716, 1078, 1006, 1450, 1485, 1091, 1443, 115, 145, 631"
003312,"805, 1385, 1199, 169, 667, 1008, 727, 1563, 1089, 257, 621, 1131, 315, 1283, 583"
003301,"642, 221, 908, 627, 074, 067, 206, 701, 225, 826, 280, 850, 528, 849, 469"
003304,"1043, 1047, 004, 920, 794, 100, 1586, 1080, 341, 347, 1477, 1206, 1439, 1102, 1031"
003306,"997, 298, 158, 876, 1184, 1013, 881, 601, 597, 1576, 719, 1051, 126, 437, 793"
003317,"1324, 083, 1446, 1057, 120, 1470, 026, 1332, 1093, 1354, 510, 365, 088, 1114, 1021"
003303,"1180, 1430, 796, 214, 827, 648, 410, 1294, 1223, 640, 1176, 637, 1560, 194, 765"
003314,"561, 774, 1046, 925, 780, 622, 090, 1248, 324, 138, 1079, 1360, 1290, 1222, 211"
003308,"1132, 922, 1534, 1283, 115, 1454, 825, 1490, 1155, 1378, 581, 1268, 1555, 833, 1407"
003309,"918, 1416, 121, 049, 1165, 1247, 1228, 529, 279, 1280, 783, 1087, 202, 517, 618"
