Grupo,Cotas
003301,"701, 877, 939, 178, 042, 919, 625, 626, 975, 187, 503, 018, 663, 528, 117"
003312,"641, 506, 1121, 1066, 1433, 1585, 1325, 305, 1354, 858, 090, 1418, 578, 264, 1125"
003308,"1584, 1195, 954, 972, 239, 1198, 869, 626, 1581, 1564, 1321, 992, 1504, 1594, 1342"
003309,"1093, 863, 322, 1373, 553, 124, 708, 793, 1294, 040, 545, 667, 757, 434, 1055"
003306,"1479, 1263, 461, 015, 1075, 1543, 808, 1492, 344, 1247, 007, 013, 048, 1246, 1177"
003304,"1339, 1083, 952, 394, 237, 524, 1055, 571, 112, 076, 273, 1356, 751, 274, 865"
003317,"289, 347, 535, 812, 204, 742, 820, 391, 1040, 734, 503, 1089, 1315, 834, 659"
003303,"1465, 463, 175, 1172, 467, 827, 1158, 935, 705, 1080, 138, 719, 413, 1454, 1305"
003310,"1360, 1260, 215, 468, 766, 926, 1446, 418, 212, 689, 008, 827, 830, 1347, 1140"
003315,"480, 1559, 998, 987, 316, 610, 899, 088, 945, 242, 518, 1322, 898, 019, 1136"
003314,"925, 626, 1592, 1388, 1138, 769, 994, 589, 621, 1287, 262, 804, 1402, 561, 685"
